,,Minutes,replicate 1 ,replicate 2 ,replicate 3
55:11:17,363,6.05,0.85,0.93,1.1
55:11:18,364,6.066666667,0.87,0.93,1.11
55:11:19,365,6.083333333,0.88,0.93,1.06
55:11:20,366,6.1,0.89,0.93,1.13
55:11:21,367,6.116666667,0.89,0.93,1.07
55:11:22,368,6.133333333,0.9,0.93,1.11
55:11:23,369,6.15,0.91,0.93,1.09
55:11:24,370,6.166666667,0.91,0.93,1.07
55:11:25,371,6.183333333,0.92,0.93,1.13
55:11:26,372,6.2,0.92,0.93,1.06
55:11:27,373,6.216666667,0.93,0.93,1.11
55:11:28,374,6.233333333,0.93,0.93,1.11
55:11:29,375,6.25,0.93,0.93,1.06
55:11:30,376,6.266666667,0.93,0.93,1.13
55:11:31,377,6.283333333,0.94,0.93,1.06
55:11:32,378,6.3,0.94,0.93,1.09
55:11:33,379,6.316666667,0.94,0.93,1.11
55:11:34,380,6.333333333,0.94,0.93,1.06
55:11:35,381,6.35,0.95,0.93,1.13
55:11:36,382,6.366666667,0.95,0.93,1.08
55:11:37,383,6.383333333,0.95,0.93,1.09
55:11:38,384,6.4,0.95,0.93,1.12
55:11:39,385,6.416666667,0.95,0.93,1.05
55:11:40,386,6.433333333,0.95,0.93,1.12
55:11:41,387,6.45,0.94,0.93,1.08
55:11:42,388,6.466666667,0.93,0.93,1.08
55:11:43,389,6.483333333,0.93,0.93,1.12
55:11:44,390,6.5,0.92,0.93,1.05
55:11:45,391,6.516666667,0.92,0.93,1.11
55:11:46,392,6.533333333,0.91,0.93,1.07
55:11:47,393,6.55,0.9,0.93,1.07
55:11:48,394,6.566666667,0.9,0.93,1.11
55:11:49,395,6.583333333,0.89,0.92,1.05
55:11:50,396,6.6,0.89,0.93,1.12
55:11:51,397,6.616666667,0.89,0.93,1.07
55:11:52,398,6.633333333,0.89,0.93,1.09
55:11:53,399,6.65,0.89,0.92,1.11
55:11:54,400,6.666666667,0.89,0.92,1.05
55:11:55,401,6.683333333,0.88,0.92,1.12
55:11:56,402,6.7,0.88,0.92,1.05
55:11:57,403,6.716666667,0.88,0.92,1.1
55:11:58,404,6.733333333,0.88,0.92,1.08
55:11:59,405,6.75,0.88,0.92,1.06
55:12:00,406,6.766666667,0.89,0.92,1.11
55:12:01,407,6.783333333,0.89,0.92,1.05
55:12:02,408,6.8,0.89,0.92,1.12
55:12:03,409,6.816666667,0.88,0.92,1.06
55:12:04,410,6.833333333,0.87,0.92,1.08
55:12:05,411,6.85,0.86,0.92,1.1
55:12:06,412,6.866666667,0.85,0.92,1.05
55:12:07,413,6.883333333,0.84,0.92,1.12
55:12:08,414,6.9,0.83,0.92,1.06
55:12:09,415,6.916666667,0.82,0.92,1.1
55:12:10,416,6.933333333,0.81,0.92,1.1
55:12:11,417,6.95,0.8,0.92,1.06
55:12:12,418,6.966666667,0.79,0.92,1.12
55:12:13,419,6.983333333,0.79,0.92,1.04
55:12:14,420,7,0.78,0.92,1.1
55:12:15,421,7.016666667,0.8,0.91,1.06
55:12:16,422,7.033333333,0.83,0.92,1.06
55:12:17,423,7.05,0.86,0.92,1.1
55:12:18,424,7.066666667,0.88,0.92,1.04
55:12:19,425,7.083333333,0.9,0.92,1.11
55:12:20,426,7.1,0.91,0.92,1.05
55:12:21,427,7.116666667,0.92,0.92,1.1
55:12:22,428,7.133333333,0.92,0.92,1.06
55:12:23,429,7.15,0.93,0.92,1.07
55:12:24,430,7.166666667,0.93,0.92,1.09
55:12:25,431,7.183333333,0.93,0.92,1.05
55:12:26,432,7.2,0.94,0.92,1.11
55:12:27,433,7.216666667,0.94,0.92,1.04
55:12:28,434,7.233333333,0.94,0.92,1.11
55:12:29,435,7.25,0.94,0.92,1.05
55:12:30,436,7.266666667,0.94,0.92,1.1
55:12:31,437,7.283333333,0.94,0.92,1.06
55:12:32,438,7.3,0.95,0.92,1.08
55:12:33,439,7.316666667,0.95,0.92,1.08
55:12:34,440,7.333333333,0.95,0.92,1.06
55:12:35,441,7.35,0.95,0.92,1.11
55:12:36,442,7.366666667,0.95,0.92,1.04
55:12:37,443,7.383333333,0.95,0.92,1.11
55:12:38,444,7.4,0.95,0.92,1.04
55:12:39,445,7.416666667,0.95,0.92,1.08
55:12:40,446,7.433333333,0.95,0.92,1.07
55:12:41,447,7.45,0.95,0.92,1.06
55:12:42,448,7.466666667,0.95,0.92,1.1
55:12:43,449,7.483333333,0.95,0.92,1.03
55:12:44,450,7.5,0.95,0.92,1.1
55:12:45,451,7.516666667,0.95,0.92,1.05
55:12:46,452,7.533333333,0.95,0.92,1.06
55:12:47,453,7.55,0.95,0.92,1.09
55:12:48,454,7.566666667,0.95,0.92,1.03
55:12:49,455,7.583333333,0.95,0.92,1.11
55:12:50,456,7.6,0.95,0.92,1.05
55:12:51,457,7.616666667,0.95,0.92,1.08
55:12:52,458,7.633333333,0.95,0.92,1.09
55:12:53,459,7.65,0.95,0.92,1.04
55:12:54,460,7.666666667,0.95,0.92,1.1
55:12:55,461,7.683333333,0.95,0.92,1.03
55:12:56,462,7.7,0.95,0.92,1.09
55:12:57,463,7.716666667,0.95,0.92,1.06
55:12:58,464,7.733333333,0.95,0.92,1.06
55:12:59,465,7.75,0.95,0.92,1.09
55:13:00,466,7.766666667,0.95,0.92,1.04
55:13:01,467,7.783333333,0.95,0.92,1.11
55:13:02,468,7.8,0.95,0.92,1.03
55:13:03,469,7.816666667,0.95,0.92,1.08
55:13:04,470,7.833333333,0.95,0.92,1.06
55:13:05,471,7.85,0.95,0.92,1.04
55:13:06,472,7.866666667,0.95,0.92,1.1
55:13:07,473,7.883333333,0.95,0.92,1.03
55:13:08,474,7.9,0.95,0.92,1.09
55:13:09,475,7.916666667,0.95,0.92,1.06
55:13:10,476,7.933333333,0.95,0.92,1.05
55:13:11,477,7.95,0.95,0.92,1.1
55:13:12,478,7.966666667,0.95,0.92,1.02
55:13:13,479,7.983333333,0.95,0.92,1.09
55:13:14,480,8,0.95,0.91,1.05
55:13:15,481,8.016666667,0.95,0.91,1.04
55:13:16,482,8.033333333,0.95,0.91,1.09
55:13:17,483,8.05,0.95,0.91,1.02
55:13:18,484,8.066666667,0.95,0.92,1.09
55:13:19,485,8.083333333,0.95,0.91,1.05
55:13:20,486,8.1,0.95,0.91,1.05
55:13:21,487,8.116666667,0.95,0.91,1.08
